Date,Country,USD_ExchangeRate,Policy_Rate(%),10Y_Bond_Yield(%),Yield_Spread(10Y_vs_US)(%),Equity_Index_Level,Oil_Price(USD_per_bbl)
2020-03-26,Turkey,7.002,5.0,7.05,4.13,1000.12,70.1
2020-03-27,Turkey,7.015,5.02,8.1,5.17,1004.36,70.04
2020-03-30,Turkey,7.022,4.98,6.56,3.62,989.38,69.89
2020-03-31,Turkey,6.992,5.0,7.17,3.99,1004.75,69.88
2020-04-01,Turkey,6.991,5.01,6.35,3.17,1005.9,69.91
2020-04-02,Turkey,6.983,5.03,6.97,3.85,992.03,69.88
2020-04-03,Turkey,7.0,5.0,6.78,3.71,994.66,69.97
2020-04-06,Turkey,7.001,5.01,7.37,4.48,992.33,70.26
2020-04-07,Turkey,7.003,4.99,7.76,4.75,1005.9,70.01
2020-04-08,Turkey,7.021,5.04,6.91,3.81,1003.23,70.27
2020-04-09,Turkey,6.99,5.01,7.54,4.72,994.08,69.59
2020-04-10,Turkey,6.997,5.01,7.77,4.76,1008.14,69.72
2020-04-13,Turkey,6.983,5.0,7.19,4.19,989.66,69.98
2020-04-14,Turkey,6.987,5.01,7.2,4.29,997.43,69.79
2020-04-15,Turkey,6.999,5.02,6.53,3.48,997.35,69.84
2020-04-16,Turkey,6.999,4.98,6.7,3.82,1009.82,70.01
2020-04-17,Turkey,6.993,5.0,6.95,3.97,1003.07,70.15
2020-04-20,Turkey,6.995,4.99,6.85,4.08,992.42,70.27
2020-04-21,Turkey,7.016,5.0,7.28,4.25,1015.39,70.22
2020-04-22,Turkey,6.999,4.98,6.18,3.16,996.22,69.72
2020-04-23,Turkey,6.994,4.98,7.82,4.73,999.96,70.3
2020-04-24,Turkey,7.001,4.98,7.74,4.69,994.81,69.96
2020-04-27,Turkey,6.991,4.97,7.44,4.24,993.01,70.11
2020-04-28,Turkey,6.993,4.99,6.69,3.78,1000.24,69.83
2020-04-29,Turkey,7.003,5.0,6.88,3.97,997.12,70.15
2020-04-30,Turkey,7.005,4.98,7.03,3.95,991.65,70.11
2020-05-01,Turkey,6.993,5.01,6.63,3.81,991.86,70.01
2020-05-04,Turkey,7.003,4.98,7.3,4.47,999.67,69.76
2020-05-05,Turkey,6.993,5.0,6.57,3.61,1005.03,69.88
2020-05-06,Turkey,7.008,4.98,7.24,4.1,987.64,69.84
2020-05-07,Turkey,7.006,5.0,7.18,4.24,1000.43,69.97
2020-05-08,Turkey,7.012,5.01,7.17,4.22,997.56,69.91
2020-05-11,Turkey,7.004,4.99,7.14,3.93,1004.36,69.93
2020-05-12,Turkey,7.012,4.99,5.97,3.07,990.65,69.93
2020-05-13,Turkey,7.0,5.03,7.2,4.22,1004.15,69.56
2020-05-14,Turkey,7.002,5.02,6.28,3.16,1001.69,69.92
2020-05-15,Turkey,7.006,5.05,7.14,4.11,997.7,69.83
2020-05-18,Turkey,7.008,4.98,7.02,4.07,1002.39,70.07
2020-05-19,Turkey,7.01,4.99,6.85,3.95,997.78,70.08
2020-05-20,Turkey,7.008,4.98,7.42,4.28,1002.07,70.38
2020-05-21,Turkey,6.992,4.98,6.09,2.94,1003.27,69.99
2020-05-22,Turkey,7.003,4.98,8.2,5.19,1000.55,70.15
2020-05-25,Turkey,7.005,5.0,6.61,3.56,1009.41,70.27
2020-05-26,Turkey,7.016,4.99,6.49,3.51,1000.28,70.22
2020-05-27,Turkey,6.983,5.03,6.95,3.99,994.94,69.67
2020-05-28,Turkey,7.008,5.0,6.36,3.49,998.32,70.33
2020-05-29,Turkey,6.997,4.97,6.85,3.87,986.52,69.99
2020-06-01,Turkey,6.998,5.01,7.94,4.83,998.66,69.78
2020-06-02,Turkey,7.026,5.0,7.01,4.01,1000.99,69.97
2020-06-03,Turkey,6.994,4.99,6.97,4.03,996.44,70.02
2020-06-04,Turkey,6.997,5.03,5.7,2.6,1006.23,69.59
2020-06-05,Turkey,6.997,4.99,6.29,3.37,994.45,70.35
2020-06-08,Turkey,7.009,5.03,7.39,4.5,997.38,70.1
2020-06-09,Turkey,6.988,5.01,6.89,3.93,1003.55,70.09
2020-06-10,Turkey,6.996,5.02,6.48,3.42,1002.97,69.94
2020-06-11,Turkey,7.003,4.97,7.44,4.46,997.39,70.21
2020-06-12,Turkey,6.993,4.97,6.19,3.13,993.6,70.35
2020-06-15,Turkey,6.979,5.03,7.14,4.15,997.28,70.08
2020-06-16,Turkey,7.0,5.02,7.08,4.06,998.18,69.99
2020-06-17,Turkey,7.003,4.97,6.29,3.22,1000.85,69.96
2020-06-18,Turkey,7.0,5.01,6.74,3.81,1000.98,69.8
2020-06-19,Turkey,7.004,4.97,7.48,4.43,1001.28,70.2
2020-06-22,Turkey,7.017,5.02,6.1,3.23,996.88,70.01
2020-06-23,Turkey,7.005,4.99,7.08,4.15,996.94,69.72
2020-06-24,Turkey,6.991,4.97,6.49,3.38,995.25,70.53
2020-06-25,Turkey,7.005,5.0,6.57,3.5,997.12,70.02
2020-06-26,Turkey,7.026,5.0,7.57,4.64,999.83,70.35
2020-06-29,Turkey,6.994,5.04,7.39,4.45,1003.16,70.19
2020-06-30,Turkey,7.006,4.97,6.61,3.63,999.63,70.12
2020-07-01,Turkey,7.002,4.97,7.16,4.1,1002.8,70.22
2020-07-02,Turkey,7.008,5.01,6.97,4.14,1002.15,70.04
2020-07-03,Turkey,7.003,4.97,6.43,3.33,999.8,70.14
2020-07-06,Turkey,7.0,5.0,7.47,4.52,1000.48,69.91
2020-07-07,Turkey,6.996,4.99,7.1,4.15,1006.28,69.82
2020-07-08,Turkey,6.998,4.99,7.71,4.7,1005.16,69.7
2020-07-09,Turkey,7.003,5.02,7.06,3.95,997.41,70.28
2020-07-10,Turkey,7.023,4.99,6.77,3.62,1007.9,69.9
2020-07-13,Turkey,6.996,4.99,6.32,3.41,994.98,69.85
2020-07-14,Turkey,7.0,5.0,7.78,4.88,1004.92,69.96
2020-07-15,Turkey,7.0,5.01,6.45,3.41,1000.83,70.1
2020-07-16,Turkey,7.003,5.05,6.73,3.78,996.88,69.89
2020-07-17,Turkey,6.994,5.02,7.73,4.79,995.84,70.09
2020-07-20,Turkey,6.994,5.01,7.11,4.27,1007.74,70.36
2020-07-21,Turkey,6.994,4.99,7.14,4.1,1003.29,70.4
2020-07-22,Turkey,6.998,4.98,6.29,3.37,999.83,70.36
2020-07-23,Turkey,6.995,5.0,7.0,3.88,1012.63,69.89
2020-07-24,Turkey,6.995,5.02,7.36,4.18,1002.92,69.93
2020-07-27,Turkey,7.006,5.02,7.43,4.38,1005.33,70.23
2020-07-28,Turkey,7.014,5.01,6.93,3.91,1006.03,69.84
2020-07-29,Turkey,7.004,4.99,7.01,3.88,1000.96,70.01
2020-07-30,Turkey,6.986,5.01,7.34,4.12,998.46,70.04
2020-07-31,Turkey,7.002,5.03,6.98,3.96,1003.04,70.04
2020-08-03,Turkey,6.996,5.0,7.54,4.64,1000.66,69.86
2020-08-04,Turkey,7.012,4.97,6.69,3.65,1007.83,69.99
2020-08-05,Turkey,6.994,5.04,6.31,3.53,1002.2,69.9
2020-08-06,Turkey,6.99,5.01,7.14,4.19,993.6,70.17
2020-08-07,Turkey,7.007,5.0,7.92,5.03,992.37,69.86
2020-08-10,Turkey,7.0,5.0,6.88,3.85,993.74,70.29
2020-08-11,Turkey,6.999,5.02,7.19,4.15,1002.85,70.09
2020-08-12,Turkey,7.006,5.03,7.12,4.05,999.55,70.29
2020-08-13,Turkey,6.993,5.04,7.02,4.16,1000.64,69.86
2020-08-14,Turkey,7.008,4.99,6.76,3.95,997.74,69.52
2020-08-17,Turkey,6.984,5.02,7.41,4.37,995.17,69.99
2020-08-18,Turkey,7.0,4.98,7.73,4.64,998.9,70.01
2020-08-19,Turkey,7.002,4.96,6.84,3.9,994.99,69.94
2020-08-20,Turkey,7.018,5.01,6.73,3.67,1007.0,70.18
2020-08-21,Turkey,7.001,4.99,7.34,4.3,1004.48,70.13
2020-08-24,Turkey,7.01,4.99,7.65,4.63,1010.38,69.86
2020-08-25,Turkey,7.017,5.0,6.68,3.73,998.4,70.08
2020-08-26,Turkey,7.005,4.99,6.98,3.76,1008.64,70.09
2020-08-27,Turkey,7.0,5.0,7.31,4.41,998.71,69.67
2020-08-28,Turkey,7.004,5.01,6.77,3.61,993.87,69.71
2020-08-31,Turkey,7.002,5.02,7.86,4.91,1005.39,69.99
2020-09-01,Turkey,6.998,5.02,7.34,4.5,1007.38,70.28
2020-09-02,Turkey,6.994,5.01,7.25,4.23,997.25,69.87
2020-09-03,Turkey,7.0,5.02,7.3,4.33,1003.86,69.43
2020-09-04,Turkey,7.011,4.97,6.78,3.9,993.53,70.23
2020-09-07,Turkey,6.995,5.01,6.98,3.94,1000.38,69.74
2020-09-08,Turkey,7.01,4.99,6.21,3.25,1007.5,70.17
2020-09-09,Turkey,6.997,4.99,6.83,3.62,1001.91,70.09
2020-09-10,Turkey,7.01,5.0,6.88,3.89,999.64,69.99
2020-09-11,Turkey,7.007,5.0,7.37,4.38,1000.39,69.6
2020-09-14,Turkey,7.009,5.01,7.51,4.8,1010.44,69.97
2020-09-15,Turkey,7.011,4.98,7.29,4.39,996.88,70.38
2020-09-16,Turkey,6.998,5.0,7.44,4.39,1000.75,70.07
2020-09-17,Turkey,7.024,5.0,7.1,3.99,1005.53,70.24
2020-09-18,Turkey,7.006,4.98,7.79,4.91,1001.51,69.85
2020-09-21,Turkey,6.999,5.01,7.17,4.13,1008.07,70.09
2020-09-22,Turkey,6.998,5.02,7.61,4.74,1002.99,70.14
2020-09-23,Turkey,6.997,5.03,6.95,3.94,999.13,70.0
2020-09-24,Turkey,6.989,4.97,7.77,4.85,995.04,69.57
2020-09-25,Turkey,6.994,4.97,7.79,4.69,996.56,70.45
2020-09-28,Turkey,7.01,4.99,5.74,2.51,993.05,69.67
2020-09-29,Turkey,7.01,5.05,7.74,4.68,1002.97,70.17
2020-09-30,Turkey,7.008,5.01,7.06,4.06,996.23,69.94
2020-10-01,Turkey,6.983,5.0,6.5,3.61,1000.9,70.28
2020-10-02,Turkey,7.009,4.97,6.47,3.38,995.09,69.96
2020-10-05,Turkey,7.006,4.98,7.03,4.17,996.99,70.06
2020-10-06,Turkey,6.984,5.01,7.0,3.94,1001.12,70.27
2020-10-07,Turkey,7.001,4.99,7.05,4.0,1000.24,70.01
2020-10-08,Turkey,6.993,4.99,6.29,3.11,993.78,69.86
2020-10-09,Turkey,6.993,5.02,6.87,3.75,996.63,70.06
2020-10-12,Turkey,6.992,5.04,6.45,3.42,1003.17,70.08
2020-10-13,Turkey,6.998,5.0,7.02,4.03,1004.82,70.44
2020-10-14,Turkey,6.994,4.97,6.93,3.67,995.98,70.33
2020-10-15,Turkey,7.017,4.99,7.27,4.11,998.1,69.96
2020-10-16,Turkey,6.994,4.98,6.66,3.78,1000.17,69.85
2020-10-19,Turkey,7.002,4.97,7.13,4.05,990.03,70.07
2020-10-20,Turkey,7.012,4.98,7.81,4.77,996.47,69.99
2020-10-21,Turkey,7.006,5.0,7.27,4.36,1000.85,69.72
2020-10-22,Turkey,6.999,4.98,6.61,3.49,1005.46,70.12
2020-10-23,Turkey,6.989,4.99,7.6,4.59,1011.6,70.08
2020-10-26,Turkey,7.002,4.99,7.06,4.08,1003.54,70.19
2020-10-27,Turkey,6.992,4.97,6.06,3.0,994.48,69.57
2020-10-28,Turkey,7.004,5.05,7.05,3.96,1000.41,69.98
2020-10-29,Turkey,7.009,4.99,7.13,4.1,996.66,70.2
2020-10-30,Turkey,6.998,4.98,7.25,4.34,1000.14,70.0
2020-11-02,Turkey,7.011,5.01,7.0,3.92,1006.95,70.11
2020-11-03,Turkey,7.0,4.97,6.44,3.47,996.95,69.96
2020-11-04,Turkey,7.001,5.01,6.98,3.93,1000.32,69.6
2020-11-05,Turkey,6.991,5.0,6.39,3.33,1007.65,70.24
2020-11-06,Turkey,6.998,5.03,7.1,4.14,996.93,69.94
2020-11-09,Turkey,6.996,5.0,7.08,4.08,1002.18,70.24
2020-11-10,Turkey,7.009,4.97,5.69,2.6,993.17,69.96
2020-11-11,Turkey,6.988,4.96,7.23,4.16,997.12,69.48
2020-11-12,Turkey,6.995,5.01,6.27,3.25,999.92,70.12
2020-11-13,Turkey,7.001,4.98,7.58,4.59,999.86,69.81
2020-11-16,Turkey,6.996,4.98,6.9,3.72,993.14,69.68
2020-11-17,Turkey,7.015,5.0,6.66,3.56,996.97,70.37
2020-11-18,Turkey,7.007,4.99,8.07,5.13,1003.71,70.06
2020-11-19,Turkey,7.013,5.03,7.05,4.12,1002.3,69.86
2020-11-20,Turkey,7.02,5.0,6.82,3.8,993.26,69.81
2020-11-23,Turkey,7.012,4.99,6.46,3.41,1005.93,70.14
2020-11-24,Turkey,7.01,4.98,6.27,3.12,998.39,69.95
2020-11-25,Turkey,7.013,5.01,7.24,4.02,996.78,70.19
2020-11-26,Turkey,7.001,5.01,7.77,4.72,1002.69,70.21
2020-11-27,Turkey,6.996,4.98,6.46,3.66,1010.28,69.78
2020-11-30,Turkey,6.998,4.99,7.15,4.07,1004.3,69.88
2020-12-01,Turkey,6.998,5.01,6.88,3.72,1002.45,70.15
2020-12-02,Turkey,7.007,5.02,7.11,4.24,1002.0,69.87
2020-12-03,Turkey,6.995,5.01,7.63,4.63,1001.54,70.34
2020-12-04,Turkey,7.002,5.05,7.33,4.51,1003.77,70.08
2020-12-07,Turkey,7.013,5.01,6.94,4.07,998.95,69.83
2020-12-08,Turkey,6.994,5.01,7.85,4.81,994.02,70.09
2020-12-09,Turkey,7.012,4.99,6.92,3.92,996.08,70.13
2020-12-10,Turkey,6.999,5.01,6.56,3.61,1003.61,69.93
2020-12-11,Turkey,7.017,4.99,7.1,4.01,992.91,69.65
2020-12-14,Turkey,6.985,5.03,6.75,3.49,997.18,70.04
2020-12-15,Turkey,7.015,5.04,8.07,4.95,1005.12,70.12
2020-12-16,Turkey,7.008,4.99,6.58,3.58,999.15,69.91
2020-12-17,Turkey,7.007,5.02,7.06,3.92,994.29,69.96
2020-12-18,Turkey,6.993,4.96,6.92,3.93,1007.57,70.13
2020-12-21,Turkey,6.99,5.04,7.65,4.59,998.87,69.81
2020-12-22,Turkey,6.996,5.02,7.96,4.81,997.56,69.78
2020-12-23,Turkey,7.001,4.96,7.13,4.14,997.67,69.68
2020-12-24,Turkey,7.005,4.99,6.4,3.69,999.86,70.35
2020-12-25,Turkey,7.017,4.99,6.69,3.64,995.01,70.06
2020-12-28,Turkey,7.008,5.02,6.97,3.99,995.61,69.83
2020-12-29,Turkey,6.998,5.01,7.46,4.54,1007.46,69.95
2020-12-30,Turkey,7.0,4.99,5.77,2.68,1003.68,69.94
2020-12-31,Turkey,7.001,5.01,6.23,3.28,1003.97,69.75
2021-01-01,Turkey,7.003,4.97,7.21,4.21,991.92,70.23
2021-01-04,Turkey,6.993,4.98,7.08,3.97,994.92,70.01
2021-01-05,Turkey,7.004,5.01,7.1,4.14,995.86,70.02
2021-01-06,Turkey,6.989,4.94,7.16,4.07,988.19,69.8
2021-01-07,Turkey,7.006,5.04,7.05,4.12,999.09,70.27
2021-01-08,Turkey,6.994,4.98,6.74,3.84,1000.61,70.32
2021-01-11,Turkey,7.003,4.99,6.85,4.01,1004.42,69.98
2021-01-12,Turkey,6.998,5.06,7.21,4.29,997.87,70.23
2021-01-13,Turkey,7.001,4.97,7.43,4.5,1009.37,70.22
2021-01-14,Turkey,6.996,5.03,7.06,3.97,1002.42,69.83
2021-01-15,Turkey,6.994,5.02,6.85,3.89,995.22,70.08
2021-01-18,Turkey,7.021,4.98,6.99,3.85,999.6,70.09
2021-01-19,Turkey,6.989,5.01,6.91,3.82,1005.94,70.52
2021-01-20,Turkey,7.006,5.01,7.1,4.14,1001.69,69.94
2021-01-21,Turkey,7.002,5.03,6.52,3.41,1006.59,69.98
2021-01-22,Turkey,6.979,4.99,7.64,4.64,995.0,69.9
2021-01-25,Turkey,7.008,5.01,6.89,3.93,998.04,69.82
2021-01-26,Turkey,7.016,4.99,7.6,4.45,1004.99,69.91
2021-01-27,Turkey,7.004,5.0,6.55,3.52,994.1,70.24
2021-01-28,Turkey,6.995,5.0,7.15,4.17,1002.93,69.91
2021-01-29,Turkey,7.009,4.97,7.04,3.84,995.0,69.86
2021-02-01,Turkey,7.005,5.0,7.18,4.13,1003.17,70.22
2021-02-02,Turkey,7.004,5.0,7.33,4.14,999.34,69.81
2021-02-03,Turkey,7.011,5.0,5.91,2.83,997.32,69.98
2021-02-04,Turkey,7.003,5.0,7.36,4.4,1002.57,69.95
2021-02-05,Turkey,7.007,5.01,6.54,3.44,997.32,70.16
2021-02-08,Turkey,7.004,5.04,6.93,3.96,999.9,69.94
2021-02-09,Turkey,7.008,4.97,6.44,3.55,1004.75,70.34
2021-02-10,Turkey,6.999,5.0,7.03,3.92,995.36,70.05
2021-02-11,Turkey,7.01,5.01,7.1,4.0,986.48,70.14
2021-02-12,Turkey,6.993,4.96,7.22,4.08,999.31,70.19
2021-02-15,Turkey,7.016,5.03,7.85,4.77,1000.38,69.68
2021-02-16,Turkey,6.998,4.98,8.07,5.09,1000.62,70.11
2021-02-17,Turkey,7.0,5.03,6.72,3.7,996.29,69.74
2021-02-18,Turkey,6.994,5.0,6.78,3.85,992.97,69.98
2021-02-19,Turkey,6.985,5.02,7.06,4.2,998.45,69.85
2021-02-22,Turkey,7.003,5.03,6.09,3.08,999.2,70.13
2021-02-23,Turkey,7.002,4.98,6.83,3.91,1005.38,70.0
2021-02-24,Turkey,7.019,5.0,6.64,3.8,990.98,69.68
2021-02-25,Turkey,7.003,5.01,6.22,3.13,997.58,70.03
2021-02-26,Turkey,7.016,5.02,6.88,3.97,989.24,69.86
2021-03-01,Turkey,6.998,4.98,6.91,3.91,998.88,69.87
2021-03-02,Turkey,7.002,5.01,6.46,3.32,999.51,70.0
2021-03-03,Turkey,7.007,5.0,7.48,4.45,996.94,70.07
2021-03-04,Turkey,6.989,5.0,6.99,4.01,999.36,69.62
2021-03-05,Turkey,6.995,5.0,7.08,4.18,1006.33,69.83
2021-03-08,Turkey,7.01,5.01,6.69,3.51,994.03,70.18
2021-03-09,Turkey,7.01,4.99,7.68,4.71,1001.44,70.05
2021-03-10,Turkey,6.999,5.02,7.41,4.59,1006.52,69.67
2021-03-11,Turkey,7.01,5.02,6.48,3.52,994.47,69.96
2021-03-12,Turkey,6.997,5.02,7.67,4.53,997.19,69.96
2021-03-15,Turkey,6.983,4.98,7.47,4.3,993.83,69.88
2021-03-16,Turkey,7.0,5.01,6.6,3.56,997.63,70.0
2021-03-17,Turkey,7.005,5.0,6.78,3.79,999.56,69.93
2021-03-18,Turkey,6.997,5.03,7.31,4.34,1003.48,69.93
2021-03-19,Turkey,7.012,5.01,6.95,3.91,992.15,69.77
2021-03-22,Turkey,6.988,5.0,7.87,4.65,1003.19,70.1
2021-03-23,Turkey,6.982,4.99,6.6,3.66,999.16,69.91
2021-03-24,Turkey,6.98,5.01,6.48,3.45,1010.37,69.82
2021-03-25,Turkey,6.975,4.99,7.54,4.35,993.85,70.1
2021-03-26,Turkey,6.995,5.0,8.32,5.47,1001.27,70.09
2021-03-29,Turkey,7.011,5.0,7.16,4.2,1001.35,69.93
2021-03-30,Turkey,7.006,4.99,7.18,4.18,1005.63,69.99
2021-03-31,Turkey,6.982,5.03,6.57,3.64,997.02,70.27
2021-04-01,Turkey,6.979,5.06,7.59,4.57,999.73,70.06
2021-04-02,Turkey,7.005,5.01,7.29,4.28,999.01,69.97
2021-04-05,Turkey,6.998,5.02,7.32,4.61,1003.28,70.04
2021-04-06,Turkey,7.0,4.99,7.55,4.46,996.14,70.08
2021-04-07,Turkey,6.99,4.97,6.66,3.57,1004.77,70.1
2021-04-08,Turkey,7.007,5.01,6.69,3.65,1004.0,70.15
2021-04-09,Turkey,7.012,5.01,7.19,4.08,999.87,69.82
2021-04-12,Turkey,6.998,4.99,6.65,3.66,996.04,69.94
2021-04-13,Turkey,6.981,5.0,7.0,4.09,1003.3,70.19
2021-04-14,Turkey,6.984,4.98,6.6,3.69,1004.15,69.96
2021-04-15,Turkey,6.997,4.96,7.28,4.4,1000.3,70.06
2021-04-16,Turkey,7.014,4.97,5.46,2.45,1009.0,70.25
2021-04-19,Turkey,7.002,4.99,7.39,4.49,1002.38,70.1
2021-04-20,Turkey,7.011,5.06,7.25,4.3,999.87,69.65
2021-04-21,Turkey,6.993,4.99,6.73,3.71,995.89,70.22
2021-04-22,Turkey,7.0,5.0,6.84,3.82,1004.13,69.83
2021-04-23,Turkey,6.993,4.99,6.32,3.4,997.62,70.17
2021-04-26,Turkey,7.003,5.0,7.43,4.44,1001.95,69.98
2021-04-27,Turkey,7.003,4.99,5.77,2.78,1007.11,70.19
2021-04-28,Turkey,7.01,5.02,7.07,4.05,996.91,69.94
2021-04-29,Turkey,7.006,5.02,6.95,4.0,1000.0,70.12
2021-04-30,Turkey,6.986,4.95,6.68,3.8,997.46,69.97
2021-05-03,Turkey,6.995,5.03,7.19,4.16,1003.11,69.77
2021-05-04,Turkey,7.01,5.0,7.33,4.44,992.23,70.16
2021-05-05,Turkey,7.004,4.98,6.55,3.43,994.05,70.33
2021-05-06,Turkey,6.991,5.01,6.85,3.79,997.28,69.97
2021-05-07,Turkey,7.0,4.98,7.35,4.4,998.86,69.8
2021-05-10,Turkey,6.974,5.0,8.2,5.12,999.9,69.95
2021-05-11,Turkey,7.0,5.01,6.42,3.31,1003.58,70.14
2021-05-12,Turkey,7.004,5.0,7.34,4.28,998.23,69.89
2021-05-13,Turkey,7.001,5.03,6.41,3.56,1000.82,70.01
2021-05-14,Turkey,7.002,5.0,6.89,3.74,992.0,69.83
2021-05-17,Turkey,6.999,4.97,6.88,3.71,1000.1,70.05
2021-05-18,Turkey,6.987,4.99,6.8,3.83,1006.41,70.11
2021-05-19,Turkey,6.989,5.0,7.25,4.14,1007.9,69.8
2021-05-20,Turkey,6.992,4.97,6.86,3.81,1004.94,69.98
2021-05-21,Turkey,6.997,5.0,6.59,3.38,991.96,70.04
2021-05-24,Turkey,7.02,5.0,6.91,3.94,999.1,70.27
2021-05-25,Turkey,6.978,5.03,6.32,3.35,997.85,70.12
2021-05-26,Turkey,6.984,5.01,8.02,5.16,1000.95,69.87
2021-05-27,Turkey,7.004,5.0,6.68,3.63,1009.02,69.96
2021-05-28,Turkey,7.007,4.97,6.5,3.45,1007.42,70.07
2021-05-31,Turkey,6.997,5.0,6.37,3.31,1004.41,69.91
2021-06-01,Turkey,6.995,5.01,6.79,3.79,1010.5,69.95
2021-06-02,Turkey,6.996,4.99,7.36,4.38,996.75,70.26
2021-06-03,Turkey,7.014,4.99,6.05,2.95,996.58,70.16
2021-06-04,Turkey,6.98,5.02,6.41,3.34,1000.07,69.81
2021-06-07,Turkey,6.996,5.01,7.07,4.01,1009.88,69.69
2021-06-08,Turkey,7.016,5.0,6.55,3.69,999.05,70.18
2021-06-09,Turkey,6.999,5.03,6.3,3.31,993.74,70.07
2021-06-10,Turkey,7.009,4.99,5.69,2.67,1002.18,70.08
2021-06-11,Turkey,7.012,4.98,7.32,4.2,991.11,70.06
